うんちく,薀蓄,vast knowledge
たくわえる,蓄える,"to store, grow a beard"
くりひろげる,繰り広げる,"to unfold, to open"
ふんぱつ,奮発,splurge
おうへい,横柄,arrogant
かっきてき,画期的,"revolutionary, ground-breaking"
ちのけ,血の気,blood
ちのけがない,血の気が無い,pale
かたむける,傾ける,"to incline, to lean"
おくゆかしい,奥ゆかしい,modest
きせい,既成,"established, existing"
じっち,実地,practice
こりる,懲りる,learn one's lesson
きにせず,気にせず,
こうじょりょうぞく,公序良俗,public order and morals
とがめる,咎める,to blame
ぎゃくぎれ,逆ギレ,offender angry at victim
きづく,気づく,to notice
でんぱ,電波,electromagnetic wave
でなおす,出直す,to make a fresh start
につれ,,"as X, then Y"
ひどいめにあう,ひどい目にあう,to have a bad time
せいじゃく,静寂,silence
けはい,気配,"indication,sign"
ちのけをひく,血の気を引く,to go pale
ただよう,漂う,"to drift, to float"
かいぎゃくをろうする,諧謔を弄する,crack a joke
