すさまじい,凄まじい,terrific
あらげる,荒げる,"to roughen, to get loud"
ひょういつ,飄逸,easygoing
イケメン,,handsome man
ばとう,罵倒,abuse
かつじ,活字,printed text
そろえる,揃える,to collect
はなはだし,甚だしい,"extreme, serious"
おおらかに,大らかに,great quantity
さめる,冷める,to become cold
れんぱつ,連発,rapid fire
キレる,,to get angry
きっすい,生粋,"pure, genuine"
きのどく,気の毒,pitiful
ほうかい,崩壊,"collapse, breaking down"
へいせつ,併設,annex
ていひょう,定評,established opinion
ロマン,,romance
れいけつ,冷血,cold battle
ひえる,冷える,to grow cold
おまけに,,in addition
こきつかう,扱き使う,to work hard
いちおう,一応,more or less
こがす,焦がす,to burn someone
するかぎり,する限り,as long as
しないかぎり,しない限り,as long as not
