くみあわせ,組み合わせ,combination
いろけ,色気,sex appeal
かいぎゃく,諧謔,joke
はなす,放す,"release, let go"
はなつ,放つ,"fire, emit"
つうよう,通用,popular use
ぼうげん,暴言,rash remark
あと,跡,"footprint,sign"
かねる,兼ねる,serve two roles
にごす,濁す,make muddy
おもに,重荷,heavy burden
にくむ,憎む,detest
つもる,積もる,accumulate
つみ,罪,sin
しめる,締める,to tie
かめのこう,亀の甲,tortoise shell
みかた,味方,ally
わざわい,災い,catastrophe
さび,錆,rust
やまい,病,illness
あげあしをとる,揚げ足を取る,nitpick
あばた,痘痕,pockmark
つぶす,潰す,"smash, crush"
ひまつぶし,暇つぶし,waste of time
しゃくぜんとする,釈然とする,be fully satisfied with
くずす,崩す,to destroy
さつい,殺意,intent to kill
